ASSERTION	AAEDAAECAwAAAAAAAIizQA==
RUN	mysimulations.Gatling30	gatling30	1670494244801	Gatling Execution	3.6.1
GROUP	Homepage_tx	1670494325611	1670494326660	1034	OK
REQUEST	Homepage_tx	bootstrap-table.css	1670494326424	1670494326682	OK	 
REQUEST	Homepage_tx	bootstrap.min.js	1670494326420	1670494326684	OK	 
REQUEST	Homepage_tx	bootstrap.min.css	1670494326422	1670494326697	OK	 
REQUEST	Homepage_tx	bootstrap-table.js	1670494326421	1670494326743	OK	 
GROUP	Homepage_tx	1670494325927	1670494326744	808	OK
REQUEST	FindFlight_tx	FindFlightRequest	1670494331329	1670494331684	OK	 
REQUEST	FindFlight_tx	FindFlightRequest	1670494331361	1670494331736	OK	 
REQUEST	FindFlight_tx	FindFlightRequest	1670494331501	1670494331884	OK	 
REQUEST	FindFlight_tx	FindFlightRequest	1670494331548	1670494331935	OK	 
REQUEST	FindFlight_tx	bootstrap.min.css	1670494331695	1670494331954	OK	 
REQUEST	FindFlight_tx	bootstrap-table.css	1670494331696	1670494331956	OK	 
REQUEST	FindFlight_tx	FindFlightRequest	1670494331563	1670494331956	OK	 
REQUEST	FindFlight_tx	bootstrap.min.js	1670494331693	1670494331972	OK	 
REQUEST	FindFlight_tx	bootstrap-table.js	1670494331694	1670494331974	OK	 
GROUP	FindFlight_tx	1670494331329	1670494331975	637	OK
REQUEST	FindFlight_tx	bootstrap-table.js	1670494331745	1670494332006	OK	 
REQUEST	FindFlight_tx	FindFlightRequest	1670494331625	1670494332006	OK	 
REQUEST	FindFlight_tx	bootstrap.min.js	1670494331744	1670494332015	OK	 
REQUEST	FindFlight_tx	bootstrap-table.css	1670494331747	1670494332016	OK	 
REQUEST	FindFlight_tx	bootstrap.min.css	1670494331746	1670494332017	OK	 
GROUP	FindFlight_tx	1670494331360	1670494332024	655	OK
REQUEST	FindFlight_tx	bootstrap.min.js	1670494331889	1670494332146	OK	 
REQUEST	FindFlight_tx	bootstrap-table.js	1670494331890	1670494332149	OK	 
REQUEST	FindFlight_tx	FindFlightRequest	1670494331609	1670494332154	OK	 
